#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
184        2454.29 3712.28 14.775  0.018   2.502   0.029   0.801   0.027   2.907   0.017  
185        2963.60 631.470 13.438  0.023   2.252   0.120   -1.191  0.115   0.745   0.024  
186        749.493 1006.46 13.588  0.026   1.410   0.047   0.801   0.041   1.455   0.027  
187        125.969 857.125 14.116  0.032   0.674   0.043   0.338   0.028   INDEF   INDEF  
188        1909.58 893.151 13.527  0.033   0.867   0.054   0.150   0.041   0.925   0.033  
189        113.223 3802.99 13.807  0.040   0.708   0.062   0.161   0.046   0.845   0.042  
190        1325.68 907.863 13.248  0.021   0.645   0.049   0.188   0.045   0.588   0.021  
191        1343.70 1075.76 13.417  0.030   0.920   0.050   0.398   0.040   0.996   0.029  
192        4023.76 3243.10 13.849  0.024   0.585   0.040   0.117   0.030   0.620   0.024  
193        2593.21 586.200 13.548  0.024   0.714   0.058   0.080   0.052   0.632   0.026  
194        1310.42 3938.91 13.366  0.020   0.715   0.050   0.216   0.051   0.667   0.022  
195        1939.93 1636.97 13.393  0.015   0.545   0.023   0.219   0.016   0.450   0.015  
196        566.573 75.415  14.305  0.043   0.498   0.058   0.374   0.035   INDEF   INDEF  
197        1785.37 3239.57 13.309  0.014   0.690   0.026   0.087   0.022   0.538   0.014  
198        1747.06 149.758 14.160  0.031   2.247   0.045   INDEF   INDEF   2.412   0.033  
199        304.856 357.022 14.283  0.025   0.543   0.038   0.345   0.026   INDEF   INDEF  
200        605.166 2395.37 13.275  0.022   2.043   0.042   1.317   0.036   2.148   0.025  
201        569.316 2318.94 13.390  0.023   0.611   0.060   0.064   0.054   0.577   0.023  
202        3023.37 417.992 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
203        2983.22 1259.81 13.493  0.022   1.903   0.032   1.136   0.024   1.888   0.023  
204        2504.42 1206.34 13.820  0.017   0.809   0.041   0.267   0.036   0.792   0.018  
205        158.788 1242.21 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
206        2196.74 1597.38 13.667  0.009   1.488   0.022   0.858   0.021   1.443   0.009  
207        1835.44 2718.05 13.575  0.017   0.869   0.027   0.287   0.021   0.872   0.016  
208        2693.16 3475.23 13.149  0.022   0.533   0.041   0.172   0.036   0.427   0.022  
209        2277.73 102.738 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
210        1547.36 3728.99 13.765  0.024   1.652   0.037   1.223   0.032   1.647   0.024  
211        3483.69 2811.62 13.756  0.012   0.826   0.022   0.132   0.020   0.842   0.013  
212        1301.81 409.285 13.594  0.026   0.838   0.048   0.391   0.041   0.836   0.028  
213        2012.06 1973.38 14.100  0.015   2.621   0.021   0.533   0.017   3.169   0.016  
214        2559.82 1167.13 13.769  0.028   0.954   0.050   0.254   0.039   0.847   0.028  
215        1796.31 3593.44 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
216        641.640 1978.82 13.353  0.022   0.467   0.058   0.051   0.053   0.490   0.022  
217        1359.32 3858.35 13.526  0.026   0.891   0.047   0.419   0.043   0.916   0.027  
218        1383.99 2281.14 13.429  0.015   0.683   0.028   0.131   0.023   0.562   0.015  
219        806.403 3862.18 13.823  0.032   0.786   0.060   0.244   0.054   1.009   0.036  
220        3504.50 649.448 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
