#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
218        1383.99 2281.14 13.430  0.015   0.690   0.028   0.157   0.025   0.550   0.015  
219        806.403 3862.18 13.825  0.031   0.794   0.060   0.275   0.057   0.998   0.036  
220        3504.50 649.448 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
221        3408.61 2075.04 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
222        3455.27 520.899 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
223        2560.46 1210.82 14.077  0.016   0.639   0.041   -0.043  0.039   0.587   0.017  
224        2776.72 2461.52 13.565  0.010   1.083   0.021   0.905   0.022   0.904   0.012  
225        325.903 2913.36 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
226        336.421 1919.93 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
227        2136.35 3934.12 13.490  0.028   0.854   0.056   0.237   0.050   0.836   0.028  
228        1285.45 790.143 13.452  0.026   0.591   0.047   0.277   0.042   0.508   0.026  
229        924.761 2587.73 13.660  0.022   0.796   0.037   0.441   0.029   0.597   0.021  
230        1353.58 265.258 13.539  0.029   1.707   0.043   1.008   0.034   1.625   0.031  
231        3824.55 4068.39 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
232        3026.54 1765.94 13.644  0.014   0.927   0.031   0.323   0.029   0.876   0.014  
233        1443.74 3414.70 13.649  0.009   0.622   0.031   0.037   0.032   0.515   0.011  
234        4020.95 3622.40 13.566  0.025   1.689   0.038   1.248   0.028   1.709   0.025  
235        3908.61 3425.92 13.800  0.017   0.934   0.030   0.243   0.026   0.960   0.017  
236        851.600 2013.46 13.542  0.024   0.763   0.043   0.290   0.038   0.822   0.023  
237        563.936 947.904 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
238        1063.78 1196.25 14.025  0.016   1.618   0.035   1.138   0.036   1.789   0.016  
239        956.425 185.909 14.259  0.028   0.839   0.038   0.274   0.026   INDEF   INDEF  
240        3019.26 1338.45 13.894  0.013   0.655   0.031   0.299   0.030   0.536   0.014  
241        3613.82 1172.82 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
242        885.089 1419.44 13.476  0.027   0.646   0.054   0.376   0.048   0.618   0.027  
243        2103.05 3513.55 13.350  0.025   0.754   0.044   0.371   0.037   0.678   0.024  
244        309.642 2855.10 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
245        3888.99 2112.74 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
246        1799.68 2285.95 13.569  0.016   1.032   0.033   0.367   0.030   0.849   0.016  
247        540.898 1218.25 13.806  0.017   0.941   0.051   0.443   0.052   1.056   0.019  
