
# Sun 12:05:37 24-Dec-2017
# List of observations files:
#		daom.obs
# Config:	bh73.cfg
# Parameters:	bh73.ans
#
# Computed indices for program and standard objects
#
# Columns: 
#	1	object id
#	2	x
#	3	y
#	4	V
#	5	error(V)
#	6	BV
#	7	error(BV)
#	8	UB
#	9	error(UB)
#	10	VI
#	11	error(VI)


239        956.425 185.909 14.261  0.028   0.842   0.039   0.255   0.025   INDEF   INDEF  
240        3019.26 1338.45 13.898  0.013   0.655   0.031   0.282   0.029   0.552   0.014  
241        3613.82 1172.82 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
242        885.089 1419.44 13.480  0.027   0.647   0.054   0.356   0.047   0.635   0.027  
243        2103.05 3513.55 13.353  0.025   0.755   0.044   0.351   0.037   0.693   0.024  
244        309.642 2855.10 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
245        3888.99 2112.74 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
246        1799.68 2285.95 13.570  0.016   1.037   0.034   0.346   0.030   0.863   0.016  
247        540.898 1218.25 13.808  0.017   0.945   0.051   0.421   0.051   1.071   0.019  
248        2651.88 1359.01 14.020  0.025   0.819   0.045   0.206   0.036   0.627   0.026  
249        2304.09 1848.01 13.716  0.011   1.727   0.022   1.244   0.020   1.574   0.011  
250        2811.85 528.585 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
251        3707.17 1734.33 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
252        2668.56 2402.71 14.009  0.012   0.803   0.024   -0.056  0.023   1.097   0.013  
253        1776.08 2792.68 13.649  0.021   0.596   0.031   0.235   0.022   0.445   0.020  
254        2274.84 1665.38 13.940  0.017   1.671   0.026   1.011   0.019   1.605   0.017  
255        3698.44 1955.17 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
256        2799.94 2593.09 14.568  0.012   2.429   0.020   0.645   0.021   3.314   0.014  
257        3736.36 3560.31 13.953  0.024   0.720   0.038   0.324   0.028   0.718   0.024  
258        238.050 2509.54 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
